table_name,source_url,provider,collector_last_ran_on,new_data_last_found_on,last_ingested_at,licence,origin
floodstoragearea_raw,https://www.planning.data.gov.uk/dataset/flood-storage-area,Planning and housing data in England,2025-10-10,2025-08-08,2025-10-10,Licensed under the Open Government Licence v.3.0.,Data created by MHCLG. We will replace this with data from authoritative sources when it is available.
green_belt_raw,https://www.planning.data.gov.uk/dataset/green-belt,Planning and housing data in England,2025-10-10,2024-12-20,2025-08-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
listedbuilding_raw,https://www.planning.data.gov.uk/dataset/listed-building,Planning and housing data in England,2025-10-10,2025-10-10,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
local_planning_authority_raw,https://www.planning.data.gov.uk/dataset/local-planning-authority,Planning and housing data in England,2025-10-10,2025-04-10,2025-03-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
localauthoritydistrict_raw,https://www.planning.data.gov.uk/dataset/local-authority-district,Planning and housing data in England,2025-10-10,2025-08-18,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
nationalpark_raw,https://www.planning.data.gov.uk/dataset/national-park,Planning and housing data in England,2025-10-10,2025-07-05,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
parish_raw,https://www.planning.data.gov.uk/dataset/parish,Planning and housing data in England,2025-10-10,2024-10-12,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
parkandgarden_raw,https://www.planning.data.gov.uk/dataset/park-and-garden,Planning and housing data in England,2025-10-10,2025-11-09,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
planningapplication_raw,https://www.planning.data.gov.uk/dataset/planning-application,Planning and housing data in England,2025-09-17,2025-09-17,2025-10-10,Licensed under the Open Government Licence v.3.0.,Data created by MHCLG. We will replace this with data from authoritative sources when it is available.
ramsar_raw,https://www.planning.data.gov.uk/dataset/ramsar,Planning and housing data in England,2025-10-10,2024-04-10,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
region_raw,https://www.planning.data.gov.uk/dataset/region,Planning and housing data in England,2025-10-10,2024-04-10,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
scheduledmonument_raw,https://www.planning.data.gov.uk/dataset/scheduled-monument,Planning and housing data in England,2025-10-10,2025-10-10,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
siteofspecialscientificinterest_raw,https://www.planning.data.gov.uk/dataset/site-of-special-scientific-interest,Planning and housing data in England,2025-10-10,2025-08-15,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
specialareaofconservation_raw,https://www.planning.data.gov.uk/dataset/special-area-of-conservation,Planning and housing data in England,2025-10-10,2024-09-18,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
specialprotectionarea_raw,https://www.planning.data.gov.uk/dataset/special-protection-area,Planning and housing data in England,2025-10-10,2025-02-28,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
titleboundary_raw,https://www.planning.data.gov.uk/dataset/title-boundary,Planning and housing data in England,2025-02-28,2025-02-27,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
ward_raw,https://www.planning.data.gov.uk/dataset/ward,Planning and housing data in England,2025-10-10,2025-04-03,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
worldheritagesite_raw,https://www.planning.data.gov.uk/dataset/world-heritage-site,Planning and housing data in England,2025-10-10,2025-10-10,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
worldheritagesitebufferzone_raw,https://www.planning.data.gov.uk/dataset/world-heritage-site-buffer-zone,Planning and housing data in England,2025-10-10,2025-10-10,2025-10-10,Licensed under the Open Government Licence v.3.0.,Contains some data created by MHCLG. We are working to replace it with data from authoritative sources
